ticker,CTVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-28,-0.8103
2019-05-29,-0.9213
2019-05-30,1.0526
2019-05-31,-6.3542
2019-06-03,-8.0089
2019-06-04,11.8501
2019-06-05,0.9369
2019-06-06,-3.9629
2019-06-07,-2.1933
2019-06-10,-3.8007999999999997
2019-06-11,-1.4224
2019-06-12,0.481
2019-06-13,-0.3989
2019-06-14,0.8811
2019-06-17,3.0171
2019-06-18,5.2023
2019-06-19,-0.5495
2019-06-20,0.0368
2019-06-21,0.1841
2019-06-24,2.9401
2019-06-25,-1.2139
2019-06-26,5.7463
2019-06-27,1.0594999999999999
2019-06-28,0.0
2019-07-01,0.372
2019-07-02,-2.3247999999999998
2019-07-03,-0.6554
2019-07-05,-0.5556
2019-07-08,-3.0377
2019-07-09,-2.8087999999999997
2019-07-10,-1.8155000000000001
2019-07-11,-0.2642
2019-07-12,4.4268
2019-07-15,1.7391
2019-07-16,-0.7835
2019-07-17,-3.5176
2019-07-18,-0.8557
2019-07-19,2.7767
2019-07-22,1.3509
2019-07-23,1.2968
2019-07-24,0.7112
2019-07-25,-1.0593
2019-07-26,1.6417000000000002
2019-07-29,1.0534
2019-07-30,1.6678
2019-07-31,1.2702
2019-08-01,5.9322
2019-08-02,0.672
2019-08-05,-4.9587
2019-08-06,0.5017
2019-08-07,1.9634
2019-08-08,3.1658
2019-08-09,0.0633
2019-08-12,-6.3231
2019-08-13,-0.1012
2019-08-14,-4.2568
2019-08-15,0.2823
2019-08-16,6.4039
2019-08-19,1.0913
2019-08-20,-1.0141
2019-08-21,1.0575
2019-08-22,-0.9483
2019-08-23,-4.0938
2019-08-26,-0.1033
2019-08-27,-0.9993
2019-08-28,1.5314999999999999
2019-08-29,1.8512
2019-08-30,-1.3127
2019-09-03,-3.7176
2019-09-04,0.7085
2019-09-05,0.1055
2019-09-06,-0.246
2019-09-09,1.2681
2019-09-10,-0.6609
2019-09-11,2.4859999999999998
2019-09-12,2.1524
2019-09-13,0.7358
2019-09-16,-2.3904
2019-09-17,-1.4285999999999999
2019-09-18,0.5866
2019-09-19,-0.0343
2019-09-20,-0.755
2019-09-23,-0.1383
2019-09-24,-2.2161
2019-09-25,-0.1416
2019-09-26,-1.9858
2019-09-27,0.5789
2019-09-30,0.7194
2019-10-01,-1.6071
2019-10-02,-2.2142
2019-10-03,-0.2227
2019-10-04,-3.683
2019-10-07,0.4249
2019-10-08,0.8462
2019-10-09,-0.1907
2019-10-10,-1.6813
