ticker,UAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-26,-0.8046
2006-01-27,-0.3476
2006-01-30,0.0
2006-01-31,-2.3721
2006-02-01,-4.7165
2006-02-02,-10.275
2006-02-03,-3.5943
2006-02-06,-2.0231
2006-02-07,-2.6844
2006-02-08,-3.0009
2006-02-09,7.8125
2006-02-10,-0.7536
2006-02-13,2.3364
2006-02-14,2.1119
2006-02-15,2.0961
2006-02-16,-2.2721
2006-02-17,3.4454000000000002
2006-02-21,-4.0617
2006-02-22,1.8346
2006-02-23,0.1663
2006-02-24,-0.9408
2006-02-27,-0.838
2006-02-28,-0.0845
2006-03-01,1.7761
2006-03-02,-0.0831
2006-03-03,1.5248
2006-03-06,0.8192
2006-03-07,0.8126
2006-03-08,0.5105
2006-03-09,-0.2406
2006-03-10,2.1972
2006-03-13,0.2098
2006-03-14,2.0147
2006-03-15,1.4876
2006-03-16,-0.7582
2006-03-17,-0.1783
2006-03-20,2.4234999999999998
2006-03-21,1.9676
2006-03-22,4.1524
2006-03-23,-2.2045
2006-03-24,0.024
2006-03-27,1.4385
2006-03-28,-3.5689
2006-03-29,-0.6863
2006-03-30,-3.7266
2006-03-31,2.3584
2006-04-03,-2.0035
2006-04-04,-0.1278
2006-04-05,0.6653
2006-04-06,-1.0676
2006-04-07,-0.2569
2006-04-10,-2.7306
2006-04-11,1.4301
2006-04-12,1.5144
2006-04-13,1.4146
2006-04-17,-2.0796
2006-04-18,-1.9165999999999999
2006-04-19,0.4489
2006-04-20,-3.286
2006-04-21,-6.3876
2006-04-24,4.7329
2006-04-25,-0.4713
2006-04-26,-0.39
2006-04-27,2.9922
2006-04-28,-2.2264
2006-05-01,-2.0272
2006-05-02,2.0692
2006-05-03,4.471
2006-05-04,2.6847
2006-05-05,0.8801
2006-05-08,-8.9043
2006-05-09,-0.8451
2006-05-10,-1.6761
2006-05-11,-2.6871
2006-05-12,-0.5344
2006-05-15,0.9851
2006-05-16,-3.3698
2006-05-17,0.3671
2006-05-18,-1.1277
2006-05-19,1.4797
2006-05-22,-2.339
2006-05-23,-1.804
2006-05-24,-3.7377000000000002
2006-05-25,0.691
2006-05-26,1.4706000000000001
2006-05-30,-6.6345
2006-05-31,1.5178
2006-06-01,1.4271
2006-06-02,-3.1156
2006-06-05,-5.0138
2006-06-06,0.7718
2006-06-07,1.3294000000000001
2006-06-08,-1.6042999999999998
2006-06-09,-0.0362
2006-06-12,-2.9721
2006-06-13,0.9712
2006-06-14,2.8857
