ticker,8394685Q US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.627
2000-01-04,-1.5773000000000001
2000-01-05,-1.2821
2000-01-06,1.9481000000000002
2000-01-07,1.9108
2000-01-10,0.625
2000-01-11,0.3106
2000-01-12,-0.9288
2000-01-13,-0.3125
2000-01-14,-0.9404
2000-01-18,1.5823
2000-01-19,0.6231
2000-01-20,0.6192
2000-01-21,0.6154
2000-01-24,-0.3058
2000-01-25,0.3067
2000-01-26,0.3058
2000-01-27,0.3049
2000-01-28,-0.304
2000-01-31,-0.3049
2000-02-01,0.6116
2000-02-02,-0.304
2000-02-03,0.3049
2000-02-04,-0.304
2000-02-07,0.3049
2000-02-08,-0.6079
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,-1.8349
2000-02-14,1.2461
2000-02-15,1.5385
2000-02-16,0.0
2000-02-17,-0.303
2000-02-18,-0.304
2000-02-22,0.3049
2000-02-23,-0.304
2000-02-24,-0.3049
2000-02-25,-0.9174
2000-02-28,-0.6173
2000-02-29,0.3106
2000-03-01,0.0
2000-03-02,-0.3096
2000-03-03,-0.3106
2000-03-06,0.6231
2000-03-07,0.0
2000-03-08,0.3096
2000-03-09,-0.3086
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,0.9288
2000-03-15,1.8405
2000-03-16,0.9036
2000-03-17,0.0
2000-03-20,0.2985
2000-03-21,0.0
2000-03-22,1.7856999999999998
2000-03-23,0.5848
2000-03-24,-0.5814
2000-03-27,-0.2924
2000-03-28,-0.8798
2000-03-29,0.2959
2000-03-30,0.0
2000-03-31,1.4748999999999999
2000-04-03,-1.1628
2000-04-04,0.8824
2000-04-05,-0.2915
2000-04-06,-0.2924
2000-04-07,0.0
2000-04-10,0.2933
2000-04-11,0.5848
2000-04-12,0.5814
2000-04-13,0.578
2000-04-14,-0.5747
2000-04-17,-0.289
2000-04-18,0.8696
2000-04-19,1.1494
2000-04-20,-0.5682
2000-04-24,0.5714
2000-04-25,0.0
2000-04-26,0.2841
2000-04-27,-0.2833
2000-04-28,0.2841
2000-05-01,2.2663
2000-05-02,1.385
2000-05-03,0.0
2000-05-04,-0.2732
2000-05-05,0.274
2000-05-08,-0.5464
2000-05-09,1.0989
2000-05-10,-0.8152
2000-05-11,-0.274
2000-05-12,0.5495
2000-05-15,0.2732
2000-05-16,0.0
2000-05-17,-1.0899
2000-05-18,-0.8264
2000-05-19,-1.1111
2000-05-22,0.0
2000-05-23,1.1236
2000-05-24,-0.2778
