ticker,3311Q US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,9.3904
2000-01-04,-7.2289
2000-01-05,-3.8148999999999997
2000-01-06,-7.173
2000-01-07,7.2727
2000-01-10,-1.5253999999999999
2000-01-11,-11.8761
2000-01-12,-6.1523
2000-01-13,9.0531
2000-01-14,-3.4351
2000-01-18,-3.1621
2000-01-19,5.9184
2000-01-20,-1.2524
2000-01-21,1.0732
2000-01-24,-4.2471
2000-01-25,-1.2097
2000-01-26,-2.1429
2000-01-27,2.8154
2000-01-28,-4.4625
2000-01-31,-3.2909
2000-02-01,-2.9638
2000-02-02,10.181
2000-02-03,-1.6427
2000-02-04,-3.4447
2000-02-07,-1.4054
2000-02-08,3.6184
2000-02-09,-2.2222
2000-02-10,0.8658
2000-02-11,-2.1459
2000-02-14,-2.193
2000-02-15,-3.1390000000000002
2000-02-16,-4.1667
2000-02-17,2.4154999999999998
2000-02-18,-3.3019
2000-02-22,-3.1707
2000-02-23,17.5063
2000-02-24,2.8939
2000-02-25,-0.625
2000-02-28,1.6771
2000-02-29,-2.7835
2000-03-01,-3.2874
2000-03-02,-0.8772
2000-03-03,1.9912
2000-03-06,-1.5184
2000-03-07,-0.4405
2000-03-08,-2.8761
2000-03-09,11.8451
2000-03-10,-4.4807
2000-03-13,4.5842
2000-03-14,0.3058
2000-03-15,-0.4065
2000-03-16,1.2245
2000-03-17,4.4355
2000-03-20,3.2819
2000-03-21,0.7477
2000-03-22,6.8646
2000-03-23,-2.0833
2000-03-24,1.4184
2000-03-27,4.1084
2000-03-28,-3.5263999999999998
2000-03-29,-5.1349
2000-03-30,-4.5872
2000-03-31,3.4615
2000-04-03,-1.1152
2000-04-04,-5.4511
2000-04-05,0.1988
2000-04-06,2.9762
2000-04-07,5.973
2000-04-10,-2.1818
2000-04-11,-2.6022
2000-04-12,-4.5802
2000-04-13,-5.2
2000-04-14,-7.173
2000-04-17,6.8182
2000-04-18,3.4043
2000-04-19,1.6461000000000001
2000-04-20,-3.2389
2000-04-24,-2.9289
2000-04-25,5.1724
2000-04-26,-1.6393
2000-04-27,0.0
2000-04-28,0.0
2000-05-01,-1.25
2000-05-02,-2.5316
2000-05-03,-1.0823
2000-05-04,-1.5316999999999998
2000-05-05,1.3333
2000-05-08,-3.1798
2000-05-09,0.5663
2000-05-10,-3.2658
2000-05-11,0.4657
2000-05-12,2.6651
2000-05-15,5.5305
2000-05-16,-0.7487
2000-05-17,-2.1552
2000-05-18,-2.4229
