ticker,0824271D US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-0.8
2000-01-05,1.6129
2000-01-06,3.1746
2000-01-07,0.7692
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,0.7634
2000-01-13,0.7576
2000-01-14,-2.2556
2000-01-18,-1.5385
2000-01-19,0.7813
2000-01-20,0.7752
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,0.7692
2000-01-26,1.5267
2000-01-27,-0.7519
2000-01-28,0.0
2000-01-31,0.0
2000-02-01,0.7576
2000-02-02,0.0
2000-02-03,1.5038
2000-02-04,2.2222
2000-02-07,-1.4493
2000-02-08,0.0
2000-02-09,1.4706000000000001
2000-02-10,0.5507
2000-02-11,-2.2222
2000-02-14,-1.5152
2000-02-15,0.0
2000-02-16,-0.7692
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-2.3256
2000-02-23,0.7937
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,-0.7874
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,-0.7937
2000-03-08,0.8
2000-03-09,-0.7937
2000-03-10,0.8
2000-03-13,-1.5873
2000-03-14,-0.8065
2000-03-15,0.0
2000-03-16,2.439
2000-03-17,0.7937
2000-03-20,0.0
2000-03-21,0.7874
2000-03-22,0.0
2000-03-23,-0.7813
2000-03-24,0.0
2000-03-27,2.3622
2000-03-28,-2.3077
2000-03-29,0.7874
2000-03-30,0.0
2000-03-31,0.0
2000-04-03,-0.7813
2000-04-04,0.7874
2000-04-05,1.5625
2000-04-06,0.0
2000-04-07,3.0769
2000-04-10,0.0
2000-04-11,-4.4776
2000-04-12,0.7813
2000-04-13,0.0
2000-04-14,-1.5504
2000-04-17,1.5748
2000-04-18,-0.7752
2000-04-19,0.7813
2000-04-20,0.0
2000-04-24,-1.5504
2000-04-25,1.5748
2000-04-26,0.0
2000-04-27,2.3256
2000-04-28,0.7576
2000-05-01,0.7519
2000-05-02,0.7463
2000-05-03,-0.7407
2000-05-04,0.0
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,2.2388
2000-05-10,0.7299
2000-05-11,0.7246
2000-05-12,-1.4388
2000-05-15,1.4599
2000-05-16,0.7194
2000-05-17,-1.6
2000-05-18,-1.4925
2000-05-19,0.0
2000-05-22,-1.5152
2000-05-23,-2.3077
2000-05-24,0.0
2000-05-25,-0.7874
2000-05-26,0.0
2000-05-30,1.5873
2000-05-31,0.7813
