ticker,VCV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,1.3699
2000-01-05,-1.3514
2000-01-06,0.4566
2000-01-07,0.4545
2000-01-10,-0.4525
2000-01-11,-0.4545
2000-01-12,0.5114
2000-01-13,-0.4566
2000-01-14,-0.4587
2000-01-18,0.0
2000-01-19,0.4608
2000-01-20,0.0
2000-01-21,-0.9174
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,0.9259
2000-01-27,0.4587
2000-01-28,-0.4566
2000-01-31,-0.4587
2000-02-01,0.4608
2000-02-02,-0.4587
2000-02-03,0.9217
2000-02-04,0.0
2000-02-07,0.4566
2000-02-08,0.9091
2000-02-09,-0.9009
2000-02-10,0.0
2000-02-11,-0.8545
2000-02-14,0.0
2000-02-15,0.9217
2000-02-16,0.4566
2000-02-17,0.0
2000-02-18,-0.9091
2000-02-22,0.9174
2000-02-23,0.0
2000-02-24,0.4545
2000-02-25,0.0
2000-02-28,0.4525
2000-02-29,0.0
2000-03-01,0.4505
2000-03-02,-0.4484
2000-03-03,0.0
2000-03-06,0.4505
2000-03-07,-0.8969
2000-03-08,0.4525
2000-03-10,-0.9009
2000-03-13,-0.4
2000-03-14,0.0
2000-03-15,-0.9174
2000-03-16,-0.463
2000-03-17,0.4651
2000-03-20,-0.463
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,0.0
2000-03-24,-0.4651
2000-03-27,0.9346
2000-03-28,0.0
2000-03-29,0.9259
2000-03-30,0.4587
2000-03-31,0.9132
2000-04-03,0.905
2000-04-04,0.4484
2000-04-05,0.0
2000-04-06,0.4464
2000-04-11,0.4444
2000-04-12,0.4956
2000-04-13,-0.4425
2000-04-14,0.0
2000-04-17,-0.8889
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,0.4484
2000-04-25,0.4464
2000-04-26,-1.3333
2000-04-27,0.0
2000-04-28,0.4505
2000-05-01,0.4484
2000-05-02,-0.4464
2000-05-03,-1.3453
2000-05-04,-1.3636
2000-05-05,0.0
2000-05-08,-0.4608
2000-05-09,0.0
2000-05-10,-0.463
2000-05-11,-0.4093
2000-05-12,0.939
2000-05-15,-0.9302
2000-05-16,-0.4695
2000-05-17,0.4717
2000-05-18,-0.939
2000-05-19,-0.4739
2000-05-22,0.0
2000-05-23,-0.9524
2000-05-24,0.4808
2000-05-25,0.0
2000-05-26,0.4785
2000-05-30,0.0
2000-05-31,0.0
2000-06-01,0.0
2000-06-02,1.4285999999999999
