ticker,NCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,1.5873
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-0.7813
2000-01-12,-0.2646
2000-01-13,-0.7937
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,-1.6
2000-01-20,0.0
2000-01-21,0.813
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,2.4194
2000-01-27,-0.7874
2000-01-28,-1.5873
2000-01-31,1.6129
2000-02-01,0.0
2000-02-02,3.9683
2000-02-03,0.7634
2000-02-04,0.0
2000-02-07,0.7576
2000-02-08,0.7519
2000-02-09,0.0
2000-02-10,0.7463
2000-02-11,-0.2489
2000-02-14,0.7463
2000-02-15,-1.4815
2000-02-16,0.7519
2000-02-17,-1.4925
2000-02-18,0.0
2000-02-22,0.7576
2000-02-23,0.0
2000-02-24,-0.7519
2000-02-25,-2.2727
2000-02-28,0.0
2000-02-29,0.7752
2000-03-01,1.5385
2000-03-02,0.7576
2000-03-03,0.7519
2000-03-06,-0.7463
2000-03-07,0.7519
2000-03-08,2.2388
2000-03-09,-2.1898
2000-03-10,-0.7463
2000-03-13,2.0211
2000-03-14,1.4815
2000-03-15,-0.7299
2000-03-16,-0.7353
2000-03-17,1.4815
2000-03-20,0.7299
2000-03-21,-0.7246
2000-03-22,1.4599
2000-03-23,-0.7194
2000-03-24,-0.7246
2000-03-27,-0.7299
2000-03-28,2.9412000000000003
2000-03-29,-0.7143
2000-03-30,3.5971
2000-03-31,-1.3889
2000-04-03,-2.1127
2000-04-04,2.1583
2000-04-05,-1.4085
2000-04-06,-0.7143
2000-04-07,-0.7194
2000-04-10,2.1739
2000-04-11,-1.4184
2000-04-12,-0.2245
2000-04-13,2.1739
2000-04-14,-0.7092
2000-04-17,-2.1429
2000-04-18,0.0
2000-04-19,1.4599
2000-04-20,-2.1583
2000-04-24,0.7353
2000-04-25,0.7299
2000-04-26,-1.4493
2000-04-27,0.0
2000-04-28,0.7353
2000-05-01,1.4599
2000-05-02,1.4388
2000-05-03,-1.4184
2000-05-04,-2.8777
2000-05-05,-0.7407
2000-05-08,1.4925
2000-05-09,-0.7353
2000-05-10,1.4815
2000-05-11,-0.9577
2000-05-12,-2.2222
2000-05-15,0.0
2000-05-16,1.5152
2000-05-17,-0.7463
2000-05-18,1.5038
2000-05-19,-0.7407
2000-05-22,1.4925
2000-05-23,-0.7353
2000-05-24,-0.7407
2000-05-25,0.0
