ticker,3362726Q UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-20,-2.6848
2006-07-21,-2.6389
2006-07-24,-1.3963
2006-07-25,-0.0416
2006-07-26,0.0
2006-07-27,-3.125
2006-07-28,3.871
2006-07-31,4.7205
2006-08-01,3.2028
2006-08-02,-7.8161000000000005
2006-08-03,1.2053
2006-08-04,-5.5441
2006-08-07,-4.7826
2006-08-08,-2.7397
2006-08-09,-2.723
2006-08-10,6.1776
2006-08-11,-4.5455
2006-08-14,0.5238
2006-08-15,2.0369
2006-08-16,1.2999
2006-08-17,-0.8708
2006-08-18,-0.601
2006-08-21,-0.2791
2006-08-22,-0.653
2006-08-23,-5.0235
2006-08-24,4.6466
2006-08-25,-0.7085
2006-08-28,2.2359999999999998
2006-08-29,-0.6515
2006-08-30,0.1874
2006-08-31,0.0468
2006-09-01,-0.4673
2006-09-05,-1.4554
2006-09-06,-3.0967
2006-09-07,-0.0983
2006-09-08,-1.7224
2006-09-11,1.4522
2006-09-12,0.7897
2006-09-13,0.9305
2006-09-14,0.9704
2006-09-15,0.9611
2006-09-18,1.4755
2006-09-19,-0.7505
2006-09-20,1.5594999999999999
2006-09-21,1.5356
2006-09-22,-0.4125
2006-09-25,3.4975
2006-09-26,0.9782
2006-09-27,2.1576
2006-09-28,0.2155
2006-09-29,-2.4516
2006-10-02,-0.5291
2006-10-03,-0.0443
2006-10-04,0.5765
2006-10-05,1.3668
2006-10-06,-0.4785
2006-10-09,0.3497
2006-10-10,-0.0871
2006-10-11,1.7437
2006-10-12,4.4559
2006-10-13,-0.4102
2006-10-16,4.5717
2006-10-17,-0.7483
2006-10-18,2.0635
2006-10-19,4.5879
2006-10-20,0.9294
2006-10-23,-0.221
2006-10-24,-0.8121
2006-10-25,1.4514
2006-10-26,-0.9538
2006-10-27,-1.3333
2006-10-30,-0.6381
2006-10-31,-2.6067
2006-11-01,-4.3832
2006-11-02,2.5963000000000003
2006-11-03,-0.435
2006-11-06,4.4877
2006-11-07,0.9122
2006-11-08,0.8663
2006-11-09,-1.7924
2006-11-10,1.1787
2006-11-13,-1.5784
2006-11-14,0.5346
2006-11-15,-0.2279
2006-11-16,0.1903
2006-11-17,2.5456
2006-11-20,-0.8522
2006-11-21,0.7474
2006-11-22,0.0371
2006-11-24,-1.891
2006-11-27,-2.003
2006-11-28,-1.6197
2006-11-29,2.3128
2006-11-30,-0.0383
2006-12-01,2.2231
2006-12-04,-0.5999
2006-12-05,-1.5843
2006-12-06,-0.0767
2006-12-07,0.9973
2006-12-08,0.076
2006-12-11,0.5693
2006-12-12,-1.8868
2006-12-13,0.1923
2006-12-14,-0.2303
2006-12-15,-1.8853
2006-12-18,19.2157
2006-12-19,0.3618
2006-12-20,0.9505
2006-12-21,0.0
2006-12-22,0.487
2006-12-26,-0.8078
2006-12-27,-0.3257
2006-12-28,-0.7843
2006-12-29,-0.1318
2007-01-03,-0.5607
2007-01-04,-0.4312
2007-01-05,0.0
2007-01-08,0.0666
2007-01-09,-0.3662
2007-01-10,0.0334
2007-01-11,0.2338
2007-01-12,-0.3665
2007-01-16,-0.5017
2007-01-17,0.0
2007-01-18,0.4034
2007-01-19,0.3348
2007-01-22,-0.1335
2007-01-23,-0.4009
2007-01-24,0.3019
2007-01-25,0.0
2007-01-26,0.3344
2007-01-29,-0.1667
2007-01-30,-0.0334
2007-01-31,-0.1336
2007-02-01,0.2676
2007-02-02,-0.1001
2007-02-05,-0.1002
2007-02-06,0.0668
2007-02-07,0.3674
2007-02-08,-0.2662
2007-02-09,0.1335
2007-02-12,-0.1333
2007-02-13,0.1001
2007-02-14,-0.5
2007-02-15,-0.134
2007-02-16,-0.0335
2007-02-20,-0.604
2007-02-21,0.0338
2007-02-22,0.0
2007-02-23,0.1687
2007-02-26,0.0
2007-02-27,-0.3706
2007-02-28,0.0338
2007-03-01,-0.2366
2007-03-02,0.0678
2007-03-05,-0.1016
2007-03-06,0.1356
2007-03-07,-0.1693
2007-03-08,-0.1017
2007-03-09,0.1358
2007-03-12,0.1356
2007-03-13,-1.9973
2007-03-14,1.4162
2007-03-15,0.1362
2007-03-16,0.0
2007-03-19,0.4422
2007-03-20,-0.237
2007-03-21,0.3055
2007-03-22,-0.1354
2007-03-23,0.3389
2007-03-26,0.439
2007-03-27,-0.3026
2007-03-28,-0.1686
2007-03-29,0.3041
2007-03-30,-0.2695
2007-04-02,0.4053
2007-04-03,0.37
2007-04-04,0.134
2007-04-05,0.0335
2007-04-09,0.2342
